Main Title,Full Review
Not enjoing this app,Money is important for hotstar so I avoid this app.     Here Mostly app give Free trial for one month and above But This app Is Give onlyyy 10 Min So I think They Plan To Launch New His Own Settellite.   
US hotstar is very disappointing.,No bigboss 3 showed in US hotstar. It is very disappointing. Because I thought I am getting everything when I subscribed the US hotstar. But It is not. It looks like I got cheated by US hotstar tv provider. I will not renew this service.     Instead I will subscribe SunTv.   
Hotstar - above an average application.,Hi friends  today I am reviewing about hotstar.Its functions usefulness uselessness its profits and losses.       When we are travelling in trains buses or we going to visit any place that time hotstar is an good source of entertainment.        2.However it needs more improvement in his features.Because of its more demand many of the peoples visiting a single site  it takes more time to load.     3.It size is also large near about 50mb therefore it takes more place in RAM. Hotstar needs more data to work  example - if we watch any video/show for 1 hour it takes 800mb approx.     If you thinking about to use this app  keep this things on your mind.Thakyou!   
Best App for sports matches Live streaming & TV en,I have been using Hotstar from last two years and find it really useful. This is the only app which live streams popular cricket matches and TV shows. Apart from it they have huge collection of hindi movies & TV serials.     http://hotstarworld.com/hotstar/hotstar-app-complete-review-with-latest-features/amp/     If we compare it with Netflix and Amazon prime   
Review,There are lots of ads. After one ad the content is not at all starting... Its showing like start in 1 sec... Please resolve the issue.   
Hotstar or Rockstar,Well My exprience on hotstar is the best well its be an year or half I am using hotstar and its the best.     First its about 31 mb so takes less space after about 20 skips you have yo sign in using facebook or gmail and enjoy.     It contains various serials and movies from star channels.     You can also enjoy live sports on hotstar and chat with friends while doing so.     Hotstar has a vast set of webseries also known as hotstar orignals and contains fablous stories to checkout.     Hotstar plays video on 3 mod and usage of data can be shown in the side of video quality you want to play.     Thus making it easier for user to chose the sutiable video quality   
Best Entertainment App,I want to share my personel experience with this app.I love to watch tv serials but sometimes I used to miss some episodes of my favourite serials I used to feel a lot and watch them on you tube but ful episode is not shown but through hotstar I watched the entire episode and also previous episodes without any worry.This app helped me a lot to relax my mind.   
Streaming App,Lucky I didn't take premium Hotstar had a huge number of videos Movies Tv shows. But if we want to watch any videos in hotstar we need a lot of patience because when ever I open any videos to watch in Mobile Phone Hotstar App it keeps on streaming length of the video duration is small but streaming time more than video length. In PC Hotstar is better than Mobile phone App previous time I used to see the episodes before it comes on TV channels. But now a days we have to wait for the next day I don't no why maybe if I take their premium or VIP I can watch it on the same day. I stopped watching Hotstar in mobile phone its really waste of my time. In Hotstar App we can watch only their adds without streaming.   
Best live tv application,I am using hotstar from 2 years. I used this application to see the most famous serial that is "Iss pyar ko kya naam doon"which was acted by barunsopthi.     And also when I was in hostel at that time we used to bigboss show which is telecasting in maa TV hosted by NTR but we didn't have TV connection in our room then we used HOTSTAR daily.     And I also used to see this application for another serial which is acted by krystal disoza and karan and the serial is "ek hazaroom me meri behana hi". Daily I will atleast 10 episodes of this serial by using my own data.     I was fully satisfied with this application. Thank you   
Entertainment full on,Hello friends I have taken the subscription of hotstar VIP and it is awsome so many web series are there and that too very entertaining recently I am watching the webseries named HOSTAGES what a story and completely based on suspense. I am enjoying it and I would recommend all to watch it. And the contect of this application is awsome and great. Hotstar also provides live streaming which is too entertaining I which we can enjoy the live streaming of the matches anytime anywhere. I would say that one can opt for this.   
